,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
302,12025700,0.7423938234919775,0.23813088515919675,0.6886313420210429,0.5197676420211792,0.34967835854579116,17.719350814819336,12.22477673961795,0,0,385,696,116,74,-3.3605304388427264,-3.6875551894822984
303,12035000,0.801678639759027,0.273954399450877,0.7561822038716856,0.7835232198238374,0.3944841639328177,23.45196533203125,18.093936003498136,0,0,240,687,140,177,-3.5137001499548006,-3.7269435697109032
304,12040500,0.7521852755243641,0.19219527077508144,0.7055986431629073,1.0828580379486086,0.7851077073413112,32.279747009277344,25.96941535788945,0,0,325,531,119,94,-2.318431167412321,-2.4875090716620827
305,12115000,0.6594752469490208,0.24793368116954756,0.6084018742911872,0.6965838074684143,0.6934868684011432,15.631341361999487,10.318587267280035,0,0,465,279,40,17,-2.60667034836343,-1.9642317946404613
306,12145500,0.8366155326221248,0.04947636929982775,0.7979878978947637,0.33971741795539856,0.4335905160401182,13.74311351776123,10.972490012795774,0,0,760,504,126,53,-3.3031167771045196,-2.681618286430837
307,12189500,0.7593711731415183,-0.003005814862916765,0.9388650117227697,1.5882891416549683,1.6428704933606002,14.294602394104004,13.222977546886629,0,0,2,28,18,13,-1.870461426965146,-1.8514562799632803
308,14216500,0.7111569926844099,0.1766095833089133,0.9176171645889307,0.9240313768386841,0.5940095780226016,17.157581710815393,14.393685494730844,0,0,326,493,21,38,-3.198644891163185,-2.771656988327651
309,14325000,0.8281092709535771,-0.22440523144422994,1.0845123973879165,0.11183811724185944,0.3120731232893777,17.50266456604004,18.995637534600938,0,0,1612,971,356,208,-6.65592107446098,-4.323978344426288
310,11124500,0.1457715468684121,-0.6253649898954785,1.5900052448319266,0.0,0.03699961519264973,1.2259875535964966,1.8401688048775766,1262,0,1810,0,866,675,-7.7564550524735845,-2.689872743463454
311,01022500,0.6951680488294442,0.18182138509723794,0.7752100551260002,0.20399370789527893,0.4015456702114059,7.2438578605651855,5.428715366356009,0,0,522,0,70,53,-3.047822069004344,-2.2509808860378064
312,01144000,0.8013634528279903,-0.04451594217143218,0.9241597843793804,0.26022621989250183,0.5242773195044016,6.3289757728576586,6.422366951649086,0,0,231,0,71,50,-2.491996772052567,-2.0336135706639253
313,01333000,0.690365206167967,0.1310450827119538,0.7356711859812635,0.24402236938476562,0.4760830566877235,7.032280921936035,5.482200101780582,0,0,368,0,68,29,-2.514311326893223,-1.786140540386309
314,01545600,0.7719947408418855,-0.021815543230031237,0.8311301277403897,0.06545676290988922,0.35340418810151125,4.970623016357422,4.328550200888454,0,0,969,0,98,42,-3.2399950903797894,-2.000542415052925
315,01664000,0.7169739386581873,-0.07204642836968056,0.8792009360320523,0.05175539031624799,0.15613782304341428,3.1450178623199463,3.4529386710514034,0,0,796,247,88,69,-3.066563226590022,-2.505665168471735
316,02014000,0.74706208360907,0.02667705503095925,0.6989225125250897,0.13588696718215942,0.17058937034594457,3.3366425991058284,2.975152264708967,0,0,39,160,137,61,-3.2837064108500735,-2.292385094678227
317,02016000,0.6847281626335227,0.03286459686821979,0.6301682548468194,0.1557970494031906,0.1707215416567069,3.689929962158203,3.1107831893971296,0,0,10,200,166,44,-2.891921949156265,-2.421985265618814
318,02102908,0.3179115171403013,0.32363582480914144,1.1730751964266184,0.4087294638156891,0.0956577631304288,2.8487205505371094,2.4386514102294057,0,0,12,323,20,91,-1.3054027536024961,-2.6529239248835923
319,02216180,0.6106309604151193,0.07612125781845977,0.6295454195603595,0.0,0.07869883331965674,3.5726821422576904,2.401286309987198,1924,0,2346,158,1613,188,-inf,-2.671031822954238
320,02298123,0.5810149601792842,0.20813320624119658,0.8655217175595215,0.0283915214240551,0.07551614689965702,4.29928731918335,2.6889876328722493,0,0,585,97,650,287,-3.85223580039494,-2.7080476954885393
321,02427250,0.7151575968689223,-0.061687197471484934,0.7271508672304465,0.08327868580818176,0.1053971346628292,4.710676860809307,4.227724379032989,0,0,255,416,336,155,-3.0856195436109686,-2.928017057259402
